fold,split,sample_id,label,label_index,group_id,group_index,cv_index,fname_placeholder,track,year,bandleader,pianist,jtd_300
1,train,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,1983,Cedar Walton,Cedar Walton,false
1,train,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,1989,Keith Jarrett,Keith Jarrett,true
1,train,bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb,All the Things You Are,0,Paul Bley / Paul Bley,2,2,bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb,All the Things You Are,1985,Paul Bley,Paul Bley,false
1,train,coreac-autumnleaves-patituccijweckld-1989-9f758273,Autumn Leaves,1,Chick Corea / Chick Corea,2,2,coreac-autumnleaves-patituccijweckld-1989-9f758273,Autumn Leaves,1989,Chick Corea,Chick Corea,false
1,train,hawesh-autumnleaves-woodejclarkek-1958-ef338e87,Autumn Leaves,1,Hampton Hawes / Hampton Hawes,4,4,hawesh-autumnleaves-woodejclarkek-1958-ef338e87,Autumn Leaves,1958,Hampton Hawes,Hampton Hawes,false
1,train,hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d,Autumn Leaves,1,John Hicks / John Hicks,6,6,hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d,Autumn Leaves,1990,John Hicks,John Hicks,true
1,train,jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa,Autumn Leaves,1,Keith Jarrett / Keith Jarrett,3,3,jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa,Autumn Leaves,1998,Keith Jarrett,Keith Jarrett,false
1,train,drewk-autumnleaves-rstednqueena-1988-23c5fddd,Autumn Leaves,1,Kenny Drew / Kenny Drew,7,7,drewk-autumnleaves-rstednqueena-1988-23c5fddd,Autumn Leaves,1988,Kenny Drew,Kenny Drew,false
1,train,petersono-autumnleaves-brownrthigpene-1965-204c37f6,Autumn Leaves,1,Oscar Peterson / Oscar Peterson,0,0,petersono-autumnleaves-brownrthigpene-1965-204c37f6,Autumn Leaves,1965,Oscar Peterson,Oscar Peterson,false
1,train,kellyw-autumnleaves-mcclurercobbj-1966-6319a440,Autumn Leaves,1,Wynton Kelly / Wynton Kelly,5,5,kellyw-autumnleaves-mcclurercobbj-1966-6319a440,Autumn Leaves,1966,Wynton Kelly,Wynton Kelly,false
1,train,jamala-ididntknowwhattime-nasserjlampkinc-1966-d41671ba,I Didnt Know What Time It Was,2,Ahmad Jamal / Ahmad Jamal,2,2,jamala-ididntknowwhattime-nasserjlampkinc-1966-d41671ba,I Didnt Know What Time It Was,1966,Ahmad Jamal,Ahmad Jamal,true
1,train,hicksj-ididntknowwhattime-lundycmuhammadi-1987-7e650670,I Didnt Know What Time It Was,2,John Hicks / John Hicks,3,3,hicksj-ididntknowwhattime-lundycmuhammadi-1987-7e650670,I Didnt Know What Time It Was,1987,John Hicks,John Hicks,true
1,train,wilsont-ididntknowwhattime-hintonmjacksono-1976-3f4fa21b,I Didnt Know What Time It Was,2,Teddy Wilson / Teddy Wilson,0,0,wilsont-ididntknowwhattime-hintonmjacksono-1976-3f4fa21b,I Didnt Know What Time It Was,1976,Teddy Wilson,Teddy Wilson,false
1,train,hawesh-illrememberapril-lafarosbutlerf-1956-16f3aa28,Ill Remember April,3,Hampton Hawes / Hampton Hawes,2,2,hawesh-illrememberapril-lafarosbutlerf-1956-16f3aa28,Ill Remember April,1956,Hampton Hawes,Hampton Hawes,false
