sample_id,label,label_index,group_id,group_index,cv_index,fname_placeholder,track,year,bandleader,pianist,jtd_300,raw_audio_path,audio_path,sample_rate,num_samples,duration_sec
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,1992,Ahmad Jamal,Ahmad Jamal,true,raw_jtd_wav_path/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,24000,2184055,91.002292
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,1983,Cedar Walton,Cedar Walton,false,raw_jtd_wav_path/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,24000,3480492,145.020500
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,1989,Keith Jarrett,Keith Jarrett,true,raw_jtd_wav_path/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,24000,4296351,179.014625
bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb,All the Things You Are,0,Paul Bley / Paul Bley,2,2,bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb,All the Things You Are,1985,Paul Bley,Paul Bley,false,raw_jtd_wav_path/bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb.wav,data/processed/jtd_group_cv_16/audio_24k_mono/bleyp-allthethingsyouare-lundgaardjhartb-1985-258273cb.wav,24000,1992244,83.010167
evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125,Autumn Leaves,1,Bill Evans / Bill Evans,1,1,evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125,Autumn Leaves,1980,Bill Evans,Bill Evans,false,raw_jtd_wav_path/evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125.wav,data/processed/jtd_group_cv_16/audio_24k_mono/evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125.wav,24000,1080218,45.009083
coreac-autumnleaves-patituccijweckld-1989-9f758273,Autumn Leaves,1,Chick Corea / Chick Corea,2,2,coreac-autumnleaves-patituccijweckld-1989-9f758273,Autumn Leaves,1989,Chick Corea,Chick Corea,false,raw_jtd_wav_path/coreac-autumnleaves-patituccijweckld-1989-9f758273.wav,data/processed/jtd_group_cv_16/audio_24k_mono/coreac-autumnleaves-patituccijweckld-1989-9f758273.wav,24000,2880031,120.001292
hawesh-autumnleaves-woodejclarkek-1958-ef338e87,Autumn Leaves,1,Hampton Hawes / Hampton Hawes,4,4,hawesh-autumnleaves-woodejclarkek-1958-ef338e87,Autumn Leaves,1958,Hampton Hawes,Hampton Hawes,false,raw_jtd_wav_path/hawesh-autumnleaves-woodejclarkek-1958-ef338e87.wav,data/processed/jtd_group_cv_16/audio_24k_mono/hawesh-autumnleaves-woodejclarkek-1958-ef338e87.wav,24000,3552416,148.017333
hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d,Autumn Leaves,1,John Hicks / John Hicks,6,6,hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d,Autumn Leaves,1990,John Hicks,John Hicks,true,raw_jtd_wav_path/hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d.wav,data/processed/jtd_group_cv_16/audio_24k_mono/hicksj-autumnleaves-drummondrmuhammadi-1990-17727f5d.wav,24000,4608553,192.023042
jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa,Autumn Leaves,1,Keith Jarrett / Keith Jarrett,3,3,jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa,Autumn Leaves,1998,Keith Jarrett,Keith Jarrett,false,raw_jtd_wav_path/jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-autumnleaves-peacockgdejohnettej-1998-1f0361fa.wav,24000,6912057,288.002375
drewk-autumnleaves-rstednqueena-1988-23c5fddd,Autumn Leaves,1,Kenny Drew / Kenny Drew,7,7,drewk-autumnleaves-rstednqueena-1988-23c5fddd,Autumn Leaves,1988,Kenny Drew,Kenny Drew,false,raw_jtd_wav_path/drewk-autumnleaves-rstednqueena-1988-23c5fddd.wav,data/processed/jtd_group_cv_16/audio_24k_mono/drewk-autumnleaves-rstednqueena-1988-23c5fddd.wav,24000,3024255,126.010625
petersono-autumnleaves-brownrthigpene-1965-204c37f6,Autumn Leaves,1,Oscar Peterson / Oscar Peterson,0,0,petersono-autumnleaves-brownrthigpene-1965-204c37f6,Autumn Leaves,1965,Oscar Peterson,Oscar Peterson,false,raw_jtd_wav_path/petersono-autumnleaves-brownrthigpene-1965-204c37f6.wav,data/processed/jtd_group_cv_16/audio_24k_mono/petersono-autumnleaves-brownrthigpene-1965-204c37f6.wav,24000,1992148,83.006167
kellyw-autumnleaves-mcclurercobbj-1966-6319a440,Autumn Leaves,1,Wynton Kelly / Wynton Kelly,5,5,kellyw-autumnleaves-mcclurercobbj-1966-6319a440,Autumn Leaves,1966,Wynton Kelly,Wynton Kelly,false,raw_jtd_wav_path/kellyw-autumnleaves-mcclurercobbj-1966-6319a440.wav,data/processed/jtd_group_cv_16/audio_24k_mono/kellyw-autumnleaves-mcclurercobbj-1966-6319a440.wav,24000,1823522,75.980083
jamala-ididntknowwhattime-nasserjlampkinc-1966-d41671ba,I Didnt Know What Time It Was,2,Ahmad Jamal / Ahmad Jamal,2,2,jamala-ididntknowwhattime-nasserjlampkinc-1966-d41671ba,I Didnt Know What Time It Was,1966,Ahmad Jamal,Ahmad Jamal,true,raw_jtd_wav_path/jamala-ididntknowwhattime-nasserjlampkinc-1966-d41671ba.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-ididntknowwhattime-nasserjlampkinc-1966-d41671ba.wav,24000,5832181,243.007542
waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4,I Didnt Know What Time It Was,2,Cedar Walton / Cedar Walton,1,1,waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4,I Didnt Know What Time It Was,1979,Cedar Walton,Cedar Walton,false,raw_jtd_wav_path/waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4.wav,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4.wav,24000,4488484,187.020167
hicksj-ididntknowwhattime-lundycmuhammadi-1987-7e650670,I Didnt Know What Time It Was,2,John Hicks / John Hicks,3,3,hicksj-ididntknowwhattime-lundycmuhammadi-1987-7e650670,I Didnt Know What Time It Was,1987,John Hicks,John Hicks,true,raw_jtd_wav_path/hicksj-ididntknowwhattime-lundycmuhammadi-1987-7e650670.wav,data/processed/jtd_group_cv_16/audio_24k_mono/hicksj-ididntknowwhattime-lundycmuhammadi-1987-7e650670.wav,24000,3672105,153.004375
wilsont-ididntknowwhattime-hintonmjacksono-1976-3f4fa21b,I Didnt Know What Time It Was,2,Teddy Wilson / Teddy Wilson,0,0,wilsont-ididntknowwhattime-hintonmjacksono-1976-3f4fa21b,I Didnt Know What Time It Was,1976,Teddy Wilson,Teddy Wilson,false,raw_jtd_wav_path/wilsont-ididntknowwhattime-hintonmjacksono-1976-3f4fa21b.wav,data/processed/jtd_group_cv_16/audio_24k_mono/wilsont-ididntknowwhattime-hintonmjacksono-1976-3f4fa21b.wav,24000,3696434,154.018083
hawesh-illrememberapril-lafarosbutlerf-1956-16f3aa28,Ill Remember April,3,Hampton Hawes / Hampton Hawes,2,2,hawesh-illrememberapril-lafarosbutlerf-1956-16f3aa28,Ill Remember April,1956,Hampton Hawes,Hampton Hawes,false,raw_jtd_wav_path/hawesh-illrememberapril-lafarosbutlerf-1956-16f3aa28.wav,data/processed/jtd_group_cv_16/audio_24k_mono/hawesh-illrememberapril-lafarosbutlerf-1956-16f3aa28.wav,24000,1200314,50.013083
jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4,Ill Remember April,3,Hank Jones / Hank Jones,1,1,jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4,Ill Remember April,1991,Hank Jones,Hank Jones,false,raw_jtd_wav_path/jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4.wav,24000,2088323,87.013458
drewk-illrememberapril-wrightespecsc-1953-cf0eadd8,Ill Remember April,3,Kenny Drew / Kenny Drew,0,0,drewk-illrememberapril-wrightespecsc-1953-cf0eadd8,Ill Remember April,1953,Kenny Drew,Kenny Drew,false,raw_jtd_wav_path/drewk-illrememberapril-wrightespecsc-1953-cf0eadd8.wav,data/processed/jtd_group_cv_16/audio_24k_mono/drewk-illrememberapril-wrightespecsc-1953-cf0eadd8.wav,24000,5115316,213.138167
