window_id,sample_id,label,label_index,group_id,group_index,cv_index,audio_path,start_sec,duration_sec,sample_rate,year,bandleader,pianist
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00000,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,0.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00001,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,5.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00002,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,10.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00003,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,15.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00004,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,20.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00005,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,25.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00006,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,30.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00007,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,35.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00008,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,40.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00009,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,45.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00010,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,50.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00011,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,55.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00012,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,60.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00013,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,65.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00014,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,70.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00015,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,75.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa__00016,jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,All the Things You Are,0,Ahmad Jamal / Ahmad Jamal,1,1,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa.wav,80.000000,10.000000,24000,1992,Ahmad Jamal,Ahmad Jamal
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00000,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,0.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00001,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,5.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00002,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,10.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00003,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,15.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00004,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,20.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00005,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,25.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00006,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,30.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00007,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,35.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00008,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,40.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00009,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,45.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00010,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,50.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00011,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,55.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00012,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,60.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00013,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,65.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00014,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,70.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00015,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,75.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00016,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,80.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00017,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,85.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00018,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,90.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00019,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,95.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00020,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,100.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00021,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,105.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00022,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,110.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00023,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,115.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00024,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,120.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00025,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,125.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00026,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,130.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e__00027,waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e,All the Things You Are,0,Cedar Walton / Cedar Walton,0,0,data/processed/jtd_group_cv_16/audio_24k_mono/waltonc-allthethingsyouare-carterrdejohnettej-1983-2ecfa73e.wav,135.000000,10.000000,24000,1983,Cedar Walton,Cedar Walton
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00000,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,0.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00001,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,5.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00002,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,10.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00003,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,15.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00004,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,20.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00005,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,25.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00006,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,30.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00007,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,35.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00008,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,40.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00009,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,45.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89__00010,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,All the Things You Are,0,Keith Jarrett / Keith Jarrett,3,3,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89.wav,50.000000,10.000000,24000,1989,Keith Jarrett,Keith Jarrett
